"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Category","Outler_Age"
"DRI23",18.85,"1",0.137410256,"8",161.7578,"OUT049",1999,"2","1","2",1604.578,"Drinks",18
"FDQ46",7.51,"1",0.104400238,"14",113.5544,"OUT017",2007,"3","2","2",894.8352,"Food",10
"NCW06",16.2,"1",0.0646641146824417,"10",190.8162,"OUT035",2004,"3","2","2",3271.0754,"Non Consumable",13
"NCX06",17.6,"1",0.015750947,"10",182.5976,"OUT018",2009,"2","3","3",1629.8784,"Non Consumable",8
"NCE19",8.97,"1",0.092937216,"10",54.6956,"OUT013",1987,"1","3","2",764.3384,"Non Consumable",30
"FDI60",7.22,"2",0.03828933,"1",64.751,"OUT013",1987,"1","3","2",126.502,"Food",30
"FDC47",15,"1",0.208162156,"14",228.1694,"OUT019",1985,"3","1","1",228.3694,"Food",32
"FDE02",8.71,"1",0.121936216,"4",94.4778,"OUT017",2007,"3","2","2",2628.5784,"Food",10
"FDE11",17.7,"2",0.135646297,"16",186.0924,"OUT018",2009,"2","3","3",3516.7556,"Food",8
"FDP11",15.85,"1",0.069240685,"2",217.5166,"OUT045",2002,"3","2","2",653.1498,"Food",15
"FDB08",6.055,"1",0.03127929,"7",160.3578,"OUT017",2007,"3","2","2",2406.867,"Food",10
"FDL48",19.35,"2",0.08186804,"1",46.8034,"OUT027",1985,"2","3","4",1069.2748,"Food",32
"FDH26",19.25,"2",0.034753686,"4",141.5496,"OUT049",1999,"2","1","2",1976.0944,"Food",18
"FDI33",16.5,"1",0.028476451,"14",91.0146,"OUT045",2002,"3","2","2",1368.219,"Food",15
"FDQ26",13.5,"2",0.067872402,"5",57.8562,"OUT046",1997,"3","1","2",355.5372,"Food",20
"FDN03",9.8,"2",0.026420581,"11",250.9408,"OUT019",1985,"3","1","1",1001.3632,"Food",32
"FDO13",7.865,"1",0.061183503,"3",164.5526,"OUT045",2002,"3","2","2",1644.526,"Food",15
"NCJ29",10.6,"1",0.035247642,"9",84.7224,"OUT049",1999,"2","1","2",1619.2256,"Non Consumable",18
"FDE52",10.395,"2",0.02974207,"5",88.9514,"OUT027",1985,"2","3","4",3453.5046,"Food",32
"FDA52",16.2,"2",0.128397995,"6",178.337,"OUT035",2004,"3","2","2",1411.496,"Food",13
"FDF57",14.5,"2",0.058918844,"7",169.7448,"OUT049",1999,"2","1","2",3238.4512,"Food",18
"NCO26",7.235,"1",0.076791671,"10",116.4492,"OUT013",1987,"1","3","2",2316.984,"Non Consumable",30
"DRL59",16.75,"1",0.021220113,"8",55.1298,"OUT035",2004,"3","2","2",1240.3854,"Drinks",13
"FDC60",5.425,"2",0.2004264,"1",88.8514,"OUT019",1985,"3","1","1",265.6542,"Food",32
"DRD25",6.135,"1",0.078589629,"15",113.286,"OUT027",1985,"2","3","4",2716.464,"Drinks",32
"FDB26",14,"2",0.031261583,"4",52.564,"OUT035",2004,"3","2","2",639.168,"Food",13
"FDK51",19.85,"1",0.005235143,"5",265.8884,"OUT046",1997,"3","1","2",2649.884,"Food",20
"FDE53",10.895,"1",0.027032204,"6",106.328,"OUT017",2007,"3","2","2",852.224,"Food",10
"FDV24",5.635,"1",0.172856719,"1",148.205,"OUT010",1998,"1","3","1",449.415,"Food",19
"FDI34",10.65,"2",0.085617517,"14",229.3668,"OUT017",2007,"3","2","2",2303.668,"Food",10
"FDL36",15.1,"1",0.127334766,"1",88.283,"OUT010",1998,"1","3","1",89.883,"Food",19
"NCA54",16.5,"1",0.036641597,"10",178.7318,"OUT046",1997,"3","1","2",1263.0226,"Non Consumable",20
"FDI38",13.35,"2",0.014656564,"4",208.5638,"OUT045",2002,"3","2","2",2277.7018,"Food",15
"FDG31",12.15,"1",0.037864854,"11",63.0826,"OUT013",1987,"1","3","2",322.913,"Food",30
"FDA21",13.65,"1",0.036016619,"14",186.3924,"OUT049",1999,"2","1","2",1295.6468,"Food",18
"FDI09",20.75,"2",0.12953868,"13",240.288,"OUT049",1999,"2","1","2",2396.88,"Food",18
"FDI20",19.1,"1",0.038531668,"7",210.6586,"OUT013",1987,"1","3","2",5487.5236,"Food",30
"DRI51",17.25,"1",0.0648003527697595,"5",171.5764,"OUT045",2002,"3","2","2",4637.9628,"Drinks",15
"DRZ11",8.85,"2",0.112119359,"15",123.0388,"OUT027",1985,"2","3","4",1981.4208,"Drinks",32
"FDY07",11.8,"1",0.0643032613957621,"7",45.9402,"OUT027",1985,"2","3","4",872.8638,"Food",32
"FDC58",10.195,"1",0.041907414,"14",43.8428,"OUT013",1987,"1","3","2",175.7712,"Food",30
"NCC30",16.6,"1",0.027556247,"10",176.6344,"OUT013",1987,"1","3","2",1962.7784,"Non Consumable",30
"FDY03",17.6,"2",0.076058484,"11",111.8202,"OUT013",1987,"1","3","2",2025.3636,"Food",30
"FDZ44",8.185,"1",0.038729057,"7",117.1808,"OUT046",1997,"3","1","2",1874.8928,"Food",20
"FDP28",13.65,"2",0.080804019,"6",261.1936,"OUT045",2002,"3","2","2",2348.9424,"Food",15
"DRD15",10.6,"1",0.056884225,"5",231.9642,"OUT049",1999,"2","1","2",3020.7346,"Drinks",18
"FDL08",10.8,"1",0.050000257,"7",243.9144,"OUT017",2007,"3","2","2",4655.2736,"Food",10
"FDP25",15.2,"1",0.021207519,"4",219.4824,"OUT046",1997,"3","1","2",1747.0592,"Food",20
"DRK59",8.895,"1",0.0648003527697595,"8",232.9616,"OUT045",2002,"3","2","2",2812.3392,"Drinks",15
"DRJ24",11.8,"1",0.113307794,"15",187.0924,"OUT035",2004,"3","2","2",1850.924,"Drinks",13
"FDU33",7.63,"2",0.225476528,"14",45.1402,"OUT010",1998,"1","3","1",45.9402,"Food",19
"FDX47",6.55,"2",0.034800079,"2",157.5288,"OUT017",2007,"3","2","2",1571.288,"Food",10
"FDR46",16.85,"1",0.139301634,"14",144.976,"OUT013",1987,"1","3","2",2783.044,"Food",30
"FDZ56",16.25,"1",0.025612348,"7",168.2474,"OUT027",1985,"2","3","4",3200.5006,"Food",32
"NCO26",7.235,"1",0.077290355,"10",116.9492,"OUT017",2007,"3","2","2",2316.984,"Non Consumable",10
"FDV38",19.25,"1",0.1017546,"5",55.1956,"OUT035",2004,"3","2","2",491.3604,"Food",13
"FDL13",13.85,"2",0.094265737,"3",233.93,"OUT010",1998,"1","3","1",233.03,"Food",19
"FDD57",18.1,"1",0.022380952,"7",93.6094,"OUT013",1987,"1","3","2",476.047,"Food",30
"FDE46",18.6,"1",0.01575657,"14",153.1366,"OUT013",1987,"1","3","2",3173.8686,"Food",30
"FDB28",6.615,"1",0.156307983,"5",196.3426,"OUT010",1998,"1","3","1",790.9704,"Food",19
"FDC41",15.6,"1",0.195688803,"6",77.367,"OUT010",1998,"1","3","1",153.134,"Food",19
"DRI23",18.85,"1",0.13747519,"8",158.6578,"OUT045",2002,"3","2","2",3369.6138,"Drinks",15
"FDL33",7.235,"1",0.0646641146824417,"14",197.2452,"OUT035",2004,"3","2","2",2348.9424,"Food",13
"FDS03",7.825,"1",0.07962861,"11",63.4826,"OUT046",1997,"3","1","2",2002.0606,"Food",20
"NCY18",7.285,"1",0.03100078,"10",177.0054,"OUT027",1985,"2","3","4",2101.2648,"Non Consumable",32
"FDE50",19.7,"2",0.016202582,"4",188.2556,"OUT035",2004,"3","2","2",3379.6008,"Food",13
"FDT02",12.6,"1",0.024190156,"5",34.4874,"OUT035",2004,"3","2","2",494.0236,"Food",13
"FDI34",10.65,"2",0.085308611,"14",230.2668,"OUT045",2002,"3","2","2",5759.17,"Food",15
"FDO15",16.75,"2",0.008564925,"11",73.2038,"OUT035",2004,"3","2","2",1404.1722,"Food",13
"DRI39",13.8,"1",0.097457483,"5",55.393,"OUT018",2009,"2","3","3",1018.674,"Drinks",8
"NCO14",9.6,"1",0.029619203,"10",43.6086,"OUT013",1987,"1","3","2",624.5204,"Non Consumable",30
"NCN19",13.1,"1",0.0642464577651515,"12",189.253,"OUT046",1997,"3","1","2",1518.024,"Non Consumable",20
"DRJ25",14.6,"1",0.150872868,"15",47.5692,"OUT045",2002,"3","2","2",1379.5376,"Drinks",15
"FDE10",6.67,"2",0.09031453,"14",130.5626,"OUT018",2009,"2","3","3",1180.4634,"Food",8
"FDQ08",15.7,"2",0.018930352,"7",59.4536,"OUT046",1997,"3","1","2",857.5504,"Food",20
"NCQ43",17.75,"1",0.111209003,"12",107.7912,"OUT013",1987,"1","3","2",982.7208,"Non Consumable",30
"FDY57",20.2,"2",0.121153331,"14",97.3752,"OUT013",1987,"1","3","2",958.752,"Food",30
"FDQ34",10.85,"1",0.163160327,"14",107.4622,"OUT017",2007,"3","2","2",1693.7952,"Food",10
"NCG19",20.25,"1",0.148163564,"10",232.7616,"OUT049",1999,"2","1","2",1874.8928,"Non Consumable",18
"FDI33",16.5,"1",0.028281197,"14",90.2146,"OUT027",1985,"2","3","4",3648.584,"Food",32
"FDW27",5.86,"2",0.150853308,"11",156.0314,"OUT046",1997,"3","1","2",2016.7082,"Food",20
"FDH04",6.115,"2",0.011437302,"6",92.4488,"OUT017",2007,"3","2","2",1358.232,"Food",10
"FDZ39",19.7,"2",0.018024769,"11",104.499,"OUT046",1997,"3","1","2",1031.99,"Food",20
"NCK19",9.8,"1",0.090448534,"12",194.5478,"OUT035",2004,"3","2","2",774.9912,"Non Consumable",13
"FDY20",12.5,"2",0.08175276,"7",89.0488,"OUT046",1997,"3","1","2",1267.6832,"Food",20
"FDN39",19.35,"2",0.109667698,"11",166.0816,"OUT010",1998,"1","3","1",671.1264,"Food",19
"NCY41",16.75,"1",0.075735621,"9",34.5532,"OUT046",1997,"3","1","2",323.5788,"Non Consumable",20
"NCN14",19.1,"1",0.091917786,"12",182.7608,"OUT046",1997,"3","1","2",1837.608,"Non Consumable",20
"FDR07",21.35,"1",0.130127365,"7",96.2094,"OUT010",1998,"1","3","1",190.4188,"Food",19
"FDW49",19.5,"1",0.082483516,"4",179.2002,"OUT013",1987,"1","3","2",2865.6032,"Food",30
"FDN23",6.575,"2",0.075507758,"2",146.4444,"OUT046",1997,"3","1","2",1596.5884,"Food",20
"FDS33",6.67,"2",0.124126756,"14",88.9514,"OUT017",2007,"3","2","2",2125.2336,"Food",10
"FDY36",12.3,"1",0.009425158,"1",74.838,"OUT049",1999,"2","1","2",1537.998,"Food",18
"FDH20",16.1,"2",0.024999711,"7",97.841,"OUT045",2002,"3","2","2",1255.033,"Food",15
"FDR15",9.3,"2",0.058545606,"11",155.8314,"OUT019",1985,"3","1","1",310.2628,"Food",32
"NCP50",17.35,"1",0.020676141,"12",80.6618,"OUT017",2007,"3","2","2",1208.427,"Non Consumable",10
"FDS40",15.35,"1",0.02346559,"6",35.219,"OUT010",1998,"1","3","1",36.619,"Food",19
"FDG38",8.975,"2",0.05272914,"4",86.4224,"OUT046",1997,"3","1","2",1022.6688,"Food",20
"NCO18",13.15,"1",0.024630755,"10",178.2686,"OUT013",1987,"1","3","2",2666.529,"Non Consumable",30
"NCO54",19.5,"1",0.014274292,"10",55.6614,"OUT046",1997,"3","1","2",718.3982,"Non Consumable",20
"NCW18",15.1,"1",0.059313603,"10",238.1248,"OUT035",2004,"3","2","2",4266.4464,"Non Consumable",13
"FDB36",5.465,"2",0.048518008,"1",132.9626,"OUT035",2004,"3","2","2",2360.9268,"Food",13
"FDJ45",17.75,"1",0.073349552,"13",34.2216,"OUT013",1987,"1","3","2",934.7832,"Food",30
"FDP60",17.35,"1",0.055648052,"1",100.3016,"OUT027",1985,"2","3","4",2833.6448,"Food",32
"DRD12",6.96,"1",0.077129323,"15",92.7146,"OUT013",1987,"1","3","2",1733.0774,"Drinks",30
"FDR47",17.85,"1",0.087824967,"2",196.0794,"OUT018",2009,"2","3","3",1755.7146,"Food",8
"FDJ10",5.095,"2",0.130031207,"14",142.4838,"OUT018",2009,"2","3","3",561.9352,"Food",8
"DRC25",5.73,"1",0.045334098,"15",87.0882,"OUT013",1987,"1","3","2",1803.6522,"Drinks",30
"NCW54",7.5,"1",0.096333029,"10",57.8588,"OUT013",1987,"1","3","2",1145.176,"Non Consumable",30
"FDA26",7.855,"2",0.073858923,"5",218.6482,"OUT013",1987,"1","3","2",3723.8194,"Food",30
"DRF01",5.655,"1",0.175047104,"15",146.9102,"OUT035",2004,"3","2","2",1895.5326,"Drinks",13
"NCZ17",12.15,"1",0.132952286,"9",37.6506,"OUT010",1998,"1","3","1",37.9506,"Non Consumable",19
"FDK46",9.6,"1",0.086145867,"14",258.362,"OUT010",1998,"1","3","1",259.662,"Food",19
"NCU41",18.85,"1",0.0520115,"9",190.3846,"OUT013",1987,"1","3","2",3630.6074,"Non Consumable",30
"FDV20",20.2,"2",0.059790095,"7",127.4678,"OUT035",2004,"3","2","2",3560.6984,"Food",13
"FDT15",12.15,"2",0.071440118,"11",182.295,"OUT010",1998,"1","3","1",549.285,"Food",19
"DRI25",19.6,"1",0.03395415,"15",56.4614,"OUT049",1999,"2","1","2",773.6596,"Drinks",18
"FDA40",16,"2",0.099271209,"6",88.5856,"OUT046",1997,"3","1","2",878.856,"Food",20
"FDZ15",13.1,"1",0.020769677,"5",117.5782,"OUT027",1985,"2","3","4",2741.0986,"Food",32
"FDM13",6.425,"1",0.06316338,"3",132.2626,"OUT035",2004,"3","2","2",2098.6016,"Food",13
"NCM05",6.825,"1",0.059846975,"9",262.5226,"OUT046",1997,"3","1","2",9779.9362,"Non Consumable",20
"FDD38",16.75,"2",0.014342659,"4",103.7674,"OUT019",1985,"3","1","1",203.7348,"Food",32
"DRI01",7.97,"1",0.057667173,"15",172.1422,"OUT010",1998,"1","3","1",517.3266,"Drinks",19
"DRG13",17.25,"1",0.037155206,"15",166.4526,"OUT013",1987,"1","3","2",3782.4098,"Drinks",30
"NCT30",9.1,"1",0.080417724,"10",48.8718,"OUT049",1999,"2","1","2",425.4462,"Non Consumable",18
"NCG42",19.2,"1",0.041227831,"10",129.831,"OUT046",1997,"3","1","2",1947.465,"Non Consumable",20
"FDB14",20.25,"2",0.102226474,"4",91.312,"OUT027",1985,"2","3","4",3075.996,"Food",32
"FDO27",6.175,"2",0.178210285,"11",95.7752,"OUT027",1985,"2","3","4",3930.8832,"Food",32
"FDC14",14.5,"2",0.06904249,"4",41.4454,"OUT010",1998,"1","3","1",41.9454,"Food",19
"FDB49",8.3,"2",0.052791124,"1",98.5384,"OUT019",1985,"3","1","1",591.2304,"Food",32
"FDZ23",17.75,"2",0.067607749,"1",188.024,"OUT049",1999,"2","1","2",2796.36,"Food",18
"FDJ52",7.145,"1",0.017887474,"6",160.6578,"OUT017",2007,"3","2","2",1765.0358,"Food",10
"FDJ56",8.985,"1",0.184440421,"7",99.67,"OUT017",2007,"3","2","2",3295.71,"Food",10
"NCR54",16.35,"1",0.091074449,"10",196.811,"OUT017",2007,"3","2","2",3338.987,"Non Consumable",10
"DRF01",5.655,"1",0.0642464577651515,"15",147.5102,"OUT046",1997,"3","1","2",1166.4816,"Drinks",20
"DRK12",9.5,"1",0.041951439,"15",32.49,"OUT049",1999,"2","1","2",865.54,"Drinks",18
"FDL58",5.78,"2",0.074087369,"14",264.9568,"OUT013",1987,"1","3","2",6855.0768,"Food",30
"FDD44",8.05,"2",0.064299088571134,"7",257.5646,"OUT013",1987,"1","3","2",5153.292,"Food",30
"FDT50",6.75,"2",0.108679906,"5",95.6752,"OUT018",2009,"2","3","3",1246.3776,"Food",8
"DRM23",16.6,"1",0.136500981,"8",173.3422,"OUT017",2007,"3","2","2",4138.6128,"Drinks",10
"NCM31",6.095,"1",0.081361288,"12",141.9154,"OUT045",2002,"3","2","2",2694.4926,"Non Consumable",15
"FDY21",15.1,"1",0.108134654131881,"14",197.211,"OUT010",1998,"1","3","1",196.411,"Food",19
"FDR22",19.35,"2",0.018591464,"14",112.9544,"OUT049",1999,"2","1","2",1342.2528,"Food",18
"NCV06",11.3,"1",0.066952965,"10",192.0478,"OUT018",2009,"2","3","3",3099.9648,"Non Consumable",8
"FDR45",10.8,"1",0.029107004,"14",240.5222,"OUT017",2007,"3","2","2",4541.4218,"Food",10
"FDH60",19.7,"2",0.0635953402378303,"1",194.411,"OUT049",1999,"2","1","2",5106.686,"Food",18
"FDR08",18.7,"1",0.065872936,"7",113.1886,"OUT019",1985,"3","1","1",111.1886,"Food",32
"FDA47",10.5,"2",0.117149075,"1",164.121,"OUT018",2009,"2","3","3",1794.331,"Food",8
"FDS37",7.655,"1",0.031994534,"4",114.3492,"OUT049",1999,"2","1","2",1853.5872,"Food",18
"FDF12",8.235,"1",0.08276363,"1",146.5076,"OUT018",2009,"2","3","3",1625.8836,"Food",8
"FDP24",20.6,"1",0.083004078,"1",119.4756,"OUT046",1997,"3","1","2",1090.5804,"Food",20
"FDU20",19.35,"2",0.021490911,"7",122.1098,"OUT049",1999,"2","1","2",2892.2352,"Food",18
"FDW44",9.5,"2",0.058835928,"7",170.2448,"OUT010",1998,"1","3","1",170.4448,"Food",19
"FDY39",5.305,"2",0.07871639,"11",183.5608,"OUT010",1998,"1","3","1",551.2824,"Food",19
"DRD37",9.8,"1",0.013869809,"15",47.406,"OUT045",2002,"3","2","2",978.726,"Drinks",15
"FDZ35",9.6,"2",0.022274264,"2",101.699,"OUT035",2004,"3","2","2",2992.771,"Food",13
"FDB50",13,"1",0.153618566,"4",79.6986,"OUT046",1997,"3","1","2",1480.0734,"Food",20
"FDY10",17.6,"1",0.049267759,"14",113.0176,"OUT018",2009,"2","3","3",2862.94,"Food",8
"FDK41",14.3,"1",0.12826315,"6",83.4224,"OUT017",2007,"3","2","2",681.7792,"Food",10
"FDL24",10.3,"2",0.02494708,"1",172.3422,"OUT045",2002,"3","2","2",5690.5926,"Food",15
"FDZ07",15.1,"2",0.157154813,"7",62.2194,"OUT010",1998,"1","3","1",185.7582,"Food",19
"DRI03",6.03,"1",0.022832115,"5",176.7028,"OUT017",2007,"3","2","2",1416.8224,"Drinks",10
"FDW56",7.68,"1",0.070900282,"7",192.6162,"OUT046",1997,"3","1","2",5580.0698,"Food",20
"FDR20",20,"2",0.028180789,"7",46.8744,"OUT045",2002,"3","2","2",905.488,"Food",15
"FDC50",15.85,"1",0.136497913,"4",96.3094,"OUT046",1997,"3","1","2",2856.282,"Food",20
"NCX05",15.2,"1",0.162462044,"9",117.6492,"OUT010",1998,"1","3","1",347.5476,"Non Consumable",19
"FDU23",12.15,"1",0.0642464577651515,"2",164.7184,"OUT046",1997,"3","1","2",3962.8416,"Food",20
"FDN45",19.35,"1",0.118080437,"14",222.6088,"OUT035",2004,"3","2","2",6040.1376,"Food",13
"FDQ51",16,"2",0.017466284,"11",45.4718,"OUT027",1985,"2","3","4",1323.6104,"Food",32
"FDH21",10.395,"1",0.031073804,"13",157.5604,"OUT027",1985,"2","3","4",5704.5744,"Food",32
"DRZ11",8.85,"2",0.113302223,"15",125.1388,"OUT017",2007,"3","2","2",1114.5492,"Drinks",10
"NCI43",19.85,"1",0.025968706,"10",49.5376,"OUT046",1997,"3","1","2",1006.6896,"Non Consumable",20
"DRF03",19.1,"1",0.045400017,"5",38.8138,"OUT045",2002,"3","2","2",690.4346,"Drinks",15
"NCF30",17,"1",0.126958147,"10",125.8362,"OUT017",2007,"3","2","2",2516.724,"Non Consumable",10
"FDB12",11.15,"2",0.105307659,"1",102.0648,"OUT046",1997,"3","1","2",1038.648,"Food",20
"FDW19",12.35,"2",0.038500421,"7",110.757,"OUT046",1997,"3","1","2",1208.427,"Food",20
"FDB45",20.85,"1",0.02137305,"7",103.3306,"OUT045",2002,"3","2","2",522.653,"Food",15
"FDY55",16.75,"1",0.0643032613957621,"7",255.7988,"OUT027",1985,"2","3","4",9251.9568,"Food",32
"FDK40",7.035,"1",0.108134654131881,"6",263.291,"OUT010",1998,"1","3","1",525.982,"Food",19
"FDU11",4.785,"1",0.09297084,"2",122.0098,"OUT018",2009,"2","3","3",2048.6666,"Food",8
"FDP33",18.7,"1",0.088839949,"14",254.2672,"OUT027",1985,"2","3","4",10993.6896,"Food",32
"FDN49",17.25,"2",0.209600084,"3",40.348,"OUT010",1998,"1","3","1",39.948,"Food",19
"FDR15",9.3,"2",0.033505804,"11",153.4314,"OUT045",2002,"3","2","2",2482.1024,"Food",15
"FDO38",17.25,"1",0.072986772,"4",78.8986,"OUT045",2002,"3","2","2",1635.8706,"Food",15
"DRC24",17.85,"1",0.024961677,"15",153.1998,"OUT017",2007,"3","2","2",3383.5956,"Drinks",10
"NCU17",5.32,"1",0.092433518,"9",101.6674,"OUT027",1985,"2","3","4",1426.1436,"Non Consumable",32
"FDK22",9.8,"1",0.026081567,"14",217.585,"OUT035",2004,"3","2","2",4327.7,"Food",13
"DRP35",18.85,"1",0.09079168,"8",127.1336,"OUT013",1987,"1","3","2",3579.3408,"Drinks",30
"NCL29",9.695,"1",0.113917889,"9",158.2604,"OUT035",2004,"3","2","2",2693.8268,"Non Consumable",13
"FDG53",10,"1",0.045928229,"6",138.118,"OUT049",1999,"2","1","2",1957.452,"Food",18
"DRM23",16.6,"1",0.135620265,"8",172.9422,"OUT013",1987,"1","3","2",2931.5174,"Drinks",30
"FDR09",18.25,"1",0.077709902,"14",259.6962,"OUT035",2004,"3","2","2",5438.9202,"Food",13
"NCJ30",5.82,"1",0.134975628,"10",170.579,"OUT010",1998,"1","3","1",509.337,"Non Consumable",19
"FDZ04",9.31,"1",0.037955094,"6",62.151,"OUT046",1997,"3","1","2",1201.769,"Food",20
"FDM10",18.25,"1",0.076125668,"14",214.0218,"OUT045",2002,"3","2","2",2564.6616,"Food",15
"FDR21",19.7,"1",0.067039526,"14",178.337,"OUT049",1999,"2","1","2",1411.496,"Food",18
"DRJ49",6.865,"1",0.014021626,"15",127.1652,"OUT045",2002,"3","2","2",1291.652,"Drinks",15
"FDJ15",11.35,"2",0.023358738,"5",184.4608,"OUT049",1999,"2","1","2",4042.7376,"Food",18
"FDO34",17.7,"1",0.029933275,"14",169.0816,"OUT035",2004,"3","2","2",5201.2296,"Food",13
"NCG30",20.2,"1",0.111777297,"10",124.6046,"OUT027",1985,"2","3","4",2863.6058,"Non Consumable",32
"FDS60",20.85,"1",0.032448523,"1",177.866,"OUT046",1997,"3","1","2",1078.596,"Food",20
"FDX57",17.25,"2",0.047266211,"14",97.0068,"OUT046",1997,"3","1","2",1846.9292,"Food",20
"FDS40",15.35,"1",0.01404119,"6",38.419,"OUT049",1999,"2","1","2",476.047,"Food",18
"FDT08",13.65,"1",0.04917754,"7",151.805,"OUT013",1987,"1","3","2",2696.49,"Food",30
"NCN29",15.2,"1",0.020280476,"9",49.1034,"OUT010",1998,"1","3","1",194.4136,"Non Consumable",19
"FDY27",6.38,"1",0.031962866,"5",178.0344,"OUT045",2002,"3","2","2",535.3032,"Food",15
"NCR29",7.565,"1",0.054376275,"9",56.293,"OUT027",1985,"2","3","4",2546.685,"Non Consumable",32
"FDZ02",6.905,"2",0.063850971,"5",97.2726,"OUT010",1998,"1","3","1",195.7452,"Food",19
"FDP40",4.555,"2",0.060154968,"6",110.1544,"OUT019",1985,"3","1","1",111.8544,"Food",32
"FDE11",17.7,"2",0.134441765,"16",183.9924,"OUT027",1985,"2","3","4",6478.234,"Food",32
"DRL35",15.7,"1",0.03067808,"8",44.777,"OUT013",1987,"1","3","2",605.878,"Drinks",30
"FDD56",15.2,"2",0.103758647,"7",177.0054,"OUT035",2004,"3","2","2",2976.7918,"Food",13
"FDO39",6.985,"2",0.136701678,"11",182.1608,"OUT027",1985,"2","3","4",5880.3456,"Food",32
"FDG32",19.85,"1",0.308145448,"7",222.0772,"OUT019",1985,"3","1","1",889.5088,"Food",32
"FDU50",5.75,"2",0.074806196,"5",112.9176,"OUT027",1985,"2","3","4",3435.528,"Food",32
"FDX24",8.355,"1",0.013926425,"1",93.0462,"OUT035",2004,"3","2","2",1110.5544,"Food",13
"NCN43",12.15,"1",0.006754117,"12",122.173,"OUT013",1987,"1","3","2",2586.633,"Non Consumable",30
"FDK34",13.35,"1",0.0642573974698545,"14",238.7564,"OUT018",2009,"2","3","3",1906.8512,"Food",8
"NCN41",17,"1",0.052209303,"9",122.373,"OUT046",1997,"3","1","2",2586.633,"Non Consumable",20
"FDW16",17.35,"2",0.041538713,"6",93.1804,"OUT049",1999,"2","1","2",1378.206,"Food",18
"FDP46",15.35,"1",0.13064231,"14",88.383,"OUT019",1985,"3","1","1",89.883,"Food",32
"NCD07",9.1,"1",0.055382616,"10",115.0518,"OUT013",1987,"1","3","2",683.1108,"Non Consumable",30
"FDG44",6.13,"1",0.0642464577651515,"7",54.1298,"OUT046",1997,"3","1","2",1348.245,"Food",20
"FDC20",10.65,"1",0.041970938,"7",55.4272,"OUT019",1985,"3","1","1",111.8544,"Food",32
"FDB23",19.2,"2",0.005583951,"16",226.9062,"OUT013",1987,"1","3","2",4514.124,"Food",30
"DRK59",8.895,"1",0.075757177,"8",233.8616,"OUT018",2009,"2","3","3",937.4464,"Drinks",8
"FDT31",19.75,"1",0.012467648,"7",188.1872,"OUT049",1999,"2","1","2",2458.1336,"Food",18
"FDB15",10.895,"1",0.137368051,"5",264.3568,"OUT018",2009,"2","3","3",4745.8224,"Food",8
"FDI56",7.325,"1",0.092933158,"7",91.0146,"OUT027",1985,"2","3","4",3466.1548,"Food",32
"NCQ17",10.3,"1",0.117593973,"9",154.463,"OUT017",2007,"3","2","2",2503.408,"Non Consumable",10
"FDH44",19.1,"2",0.026018497,"7",148.2418,"OUT017",2007,"3","2","2",3089.9778,"Food",10
"FDP40",4.555,"2",0.034410585,"6",111.3544,"OUT049",1999,"2","1","2",1342.2528,"Food",18
"NCR17",9.8,"1",0.02426524,"9",114.0492,"OUT027",1985,"2","3","4",3938.8728,"Non Consumable",32
"NCO53",16.2,"1",0.176175402,"9",184.0608,"OUT017",2007,"3","2","2",2021.3688,"Non Consumable",10
"FDG38",8.975,"2",0.088257771,"4",84.1224,"OUT010",1998,"1","3","1",170.4448,"Food",19
"FDO01",21.1,"2",0.020750867,"3",128.7994,"OUT049",1999,"2","1","2",1927.491,"Food",18
"NCQ43",17.75,"1",0.111527348,"12",110.2912,"OUT045",2002,"3","2","2",873.5296,"Non Consumable",15
"FDU47",12.8,"2",0.114318263,"2",142.2838,"OUT018",2009,"2","3","3",421.4514,"Food",8
"FDZ02",6.905,"2",0.038363204,"5",98.1726,"OUT017",2007,"3","2","2",587.2356,"Food",10
"FDS04",10.195,"2",0.245483691,"6",141.8838,"OUT010",1998,"1","3","1",280.9676,"Food",19
"FDQ31",5.785,"2",0.053930934,"7",87.3856,"OUT049",1999,"2","1","2",878.856,"Food",18
"FDT57",15.2,"1",0.018942606,"14",236.0248,"OUT027",1985,"2","3","4",6636.6944,"Food",32
"FDK50",7.96,"1",0.028339599,"4",162.4894,"OUT013",1987,"1","3","2",1779.6834,"Food",30
"FDB49",8.3,"2",0.030151351,"1",98.7384,"OUT046",1997,"3","1","2",492.692,"Food",20
"FDN56",5.46,"2",0.107274301,"7",145.5786,"OUT045",2002,"3","2","2",3900.9222,"Food",15
"FDU02",13.35,"1",0.102670882,"5",228.6352,"OUT049",1999,"2","1","2",3435.528,"Food",18
"FDK26",5.46,"2",0.032177405,"4",185.424,"OUT046",1997,"3","1","2",5219.872,"Food",20
"DRA24",19.35,"2",0.039734882,"15",165.7868,"OUT027",1985,"2","3","4",4913.604,"Drinks",32
"FDF53",20.75,"2",0.083536989,"6",180.3318,"OUT013",1987,"1","3","2",4149.9314,"Food",30
"NCZ30",6.59,"1",0.026225693,"10",119.0098,"OUT049",1999,"2","1","2",2530.7058,"Non Consumable",18
